container,vessel,shipped_date,week,audited,success
MNBU4098373,SANTA CRUZ,28/12/2022 00:00,202252,0,
MNBU4098970,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4099744,SANTA ISABEL,05/02/2023 00:00,202306,0,
MNBU4099908,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4100906,SANTA RITA,14/12/2022 00:00,202250,0,
MNBU4101184,MOL PROFICIENCY,01/12/2022 00:00,202248,1,1
MNBU4101610,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4101970,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4103171,SANTA CLARA,29/01/2023 00:00,202305,0,
MNBU4103320,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4103335,MAERSK DANUBE,22/02/2023 00:00,202308,1,1
MNBU4103377,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4103546,MAERSK VILNIUS,11/12/2022 00:00,202250,1,1
MNBU4104603,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4104645,MOL PROFICIENCY,01/12/2022 00:00,202248,1,1
MNBU4104671,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4105127,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4105132,SANTA TERESA,12/01/2023 00:00,202302,0,
MNBU4105425,MSC KOREA,19/02/2023 00:00,202308,0,
MNBU4105699,SANTA ISABEL,05/02/2023 00:00,202306,0,
MNBU4106273,MSC SHIRLEY,04/02/2023 00:00,202305,1,1
MNBU4106801,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4106817,CMA CGM JAMAICA,02/03/2023 00:00,202309,0,
MNBU4107496,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4107578,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4107942,MAERSK DANUBE,09/12/2022 00:00,202249,1,1
MNBU4107990,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4108661,SANTA CLARA,29/01/2023 00:00,202305,0,
MNBU4109781,CMA CGM LEBU,09/01/2023 00:00,202302,1,1
MNBU4110329,MSC KOREA,19/02/2023 00:00,202308,0,
MNBU4110360,KALAHARI EXPRESS,12/02/2023 00:00,202307,1,1
MNBU4110550,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4111095,MOL PROFICIENCY,01/12/2022 00:00,202248,1,1
MNBU4112907,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4113117,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4113694,MEHUIN,19/01/2023 00:00,202303,0,
MNBU4115064,MEHUIN,19/01/2023 00:00,202303,0,
MNBU4115510,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4115547,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4115830,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4116100,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4116224,MOL PRESENCE,21/12/2022 00:00,202251,0,
MNBU4116332,MOL PROFICIENCY,01/12/2022 00:00,202248,0,
MNBU4116902,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4118839,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4119178,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4119820,KALAHARI EXPRESS,12/02/2023 00:00,202307,1,1
MNBU4120013,MSC KOREA,08/12/2022 00:00,202249,0,
MNBU4120420,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4121030,SANTA CRUZ,28/12/2022 00:00,202252,1,1
MNBU4122356,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4123310,MAERSK VALLVIK,13/01/2023 00:00,202302,0,
MNBU4123579,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4124019,SANTA CRUZ,05/03/2023 00:00,202310,0,
MNBU4124404,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4125273,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4125550,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4125674,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4125680,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4125782,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4126752,SANTA RITA,14/12/2022 00:00,202250,0,
MNBU4126829,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4127002,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4127070,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4127738,MAERSK CHENNAI,12/12/2022 00:00,202250,1,1
MNBU4128020,MOL PRESENCE,21/12/2022 00:00,202251,0,
MNBU4128204,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4128380,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4128441,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4129807,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4129828,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4130433,MAERSK VISBY,16/01/2023 00:00,202303,1,1
MNBU4130500,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4130876,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4131018,MOL PRESENCE,21/12/2022 00:00,202251,1,1
MNBU4131722,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4133685,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4133710,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4133767,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4134110,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4134341,SANTA CLARA,29/01/2023 00:00,202305,0,
MNBU4134589,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4134824,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4134911,CMA CGM QUELIMANE,23/02/2023 00:00,202308,1,1
MNBU4135190,KALAHARI EXPRESS,12/02/2023 00:00,202307,1,1
MNBU4135219,MSC SHIRLEY,04/02/2023 00:00,202305,1,1
MNBU4135482,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4135712,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4135800,MOL PRESENCE,21/12/2022 00:00,202251,0,
MNBU4135899,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4136088,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4137150,MAERSK DANUBE,22/02/2023 00:00,202308,1,1
MNBU4137470,MAERSK VALLVIK,13/01/2023 00:00,202302,1,1
MNBU4137612,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4138917,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4139282,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4139410,KALAHARI EXPRESS,12/02/2023 00:00,202307,1,1
MNBU4139596,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4139868,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4140724,MARATHOPOLIS,05/02/2023 00:00,202306,1,1
MNBU4141079,SANTA CRUZ,28/12/2022 00:00,202252,0,
MNBU4141593,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4142060,SANTA CRUZ,28/12/2022 00:00,202252,1,1
MNBU4143127,CMA CGM LEBU,09/01/2023 00:00,202302,1,1
MNBU4143132,MAERSK VILNIUS,13/12/2022 00:00,202250,1,1
MNBU4143390,SANTA CRUZ,05/03/2023 00:00,202310,0,
MNBU4145496,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4145747,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4145979,KALAHARI EXPRESS,08/12/2022 00:00,202249,1,1
MNBU4146450,MSC SHIRLEY,04/02/2023 00:00,202305,1,1
MNBU4146574,MSC KOREA,19/02/2023 00:00,202308,1,1
MNBU4147375,KALAHARI EXPRESS,10/02/2023 00:00,202306,1,1
MNBU4147797,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4148129,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4148350,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4148962,MOL PROFICIENCY,01/12/2022 00:00,202248,1,1
MNBU4149070,MEHUIN,19/01/2023 00:00,202303,1,1
